k;t;r;value
p18;15;1;0.0
p19;15;1;0.0
p20;15;1;0.0
p21;15;1;513.0
p22;15;1;0.0
p23;15;1;-0.0
p24;15;1;2128.0
p25;15;1;0.0
p26;15;1;0.0
p27;15;1;0.0
p28;15;1;0.0
p1;16;1;1.0
p2;16;1;0.0
p3;16;1;0.0
p4;16;1;0.0
p5;16;1;0.0
p6;16;1;0.0
p7;16;1;912.0
p8;16;1;0.0
p9;16;1;0.0
p10;16;1;0.0
p11;16;1;0.0
p12;16;1;0.0
p13;16;1;0.0
p14;16;1;0.0
p15;16;1;0.0
p16;16;1;0.0
p17;16;1;333.0
p18;16;1;0.0
p19;16;1;0.0
p20;16;1;0.0
p21;16;1;3327.0
p22;16;1;0.0
p23;16;1;-0.0
p24;16;1;427.0
p25;16;1;0.0
p26;16;1;0.0
p27;16;1;0.0
p28;16;1;0.0
p1;17;1;0.0
p2;17;1;0.0
p3;17;1;0.0
p4;17;1;0.0
p5;17;1;0.0
p6;17;1;0.0
p7;17;1;867.0
p8;17;1;0.0
p9;17;1;0.0
p10;17;1;0.0
p11;17;1;0.0
p12;17;1;0.0
p13;17;1;0.0
p14;17;1;0.0
p15;17;1;779.0
p16;17;1;0.0
p17;17;1;860.0
p18;17;1;0.0
p19;17;1;0.0
p20;17;1;0.0
p21;17;1;773.0
p22;17;1;0.0
p23;17;1;-0.0
p24;17;1;1721.0
p25;17;1;0.0
p26;17;1;0.0
p27;17;1;0.0
p28;17;1;0.0
p1;18;1;0.0
p2;18;1;0.0
p3;18;1;0.0
p4;18;1;0.0
p5;18;1;0.0
p6;18;1;0.0
p7;18;1;922.0
p8;18;1;0.0
p9;18;1;0.0
p10;18;1;0.0
p11;18;1;0.0
p12;18;1;0.0
p13;18;1;0.0
p14;18;1;0.0
p15;18;1;367.0
p16;18;1;0.0
p17;18;1;48.0
p18;18;1;1.0
p19;18;1;0.0
p20;18;1;0.0
p21;18;1;1995.0
p22;18;1;0.0
p23;18;1;-0.0
p24;18;1;1667.0
p25;18;1;0.0
p26;18;1;0.0
p27;18;1;0.0
p28;18;1;0.0
p1;19;1;0.0
p2;19;1;0.0
p3;19;1;28.0
p4;19;1;0.0
p5;19;1;0.0
p6;19;1;0.0
p7;19;1;662.0
p8;19;1;0.0
p9;19;1;0.0
p10;19;1;0.0
p11;19;1;0.0
p12;19;1;0.0
p13;19;1;0.0
p14;19;1;0.0
p15;19;1;408.0
p16;19;1;0.0
p17;19;1;384.0
p18;19;1;0.0
p19;19;1;0.0
p20;19;1;0.0
p21;19;1;1903.0
p22;19;1;0.0
p23;19;1;-0.0
p24;19;1;1261.0
p25;19;1;0.0
p26;19;1;0.0
p27;19;1;354.0
p28;19;1;0.0
p1;20;1;0.0
p2;20;1;0.0
p3;20;1;18.0
p4;20;1;0.0
p5;20;1;0.0
p6;20;1;0.0
p7;20;1;744.0
p8;20;1;0.0
p9;20;1;0.0
p10;20;1;0.0
p11;20;1;0.0
p12;20;1;0.0
p13;20;1;0.0
p14;20;1;0.0
p15;20;1;489.0
p16;20;1;0.0
p17;20;1;359.0
p18;20;1;0.0
p19;20;1;0.0
p20;20;1;0.0
p21;20;1;1799.0
p22;20;1;0.0
p23;20;1;-0.0
p24;20;1;1353.0
p25;20;1;0.0
p26;20;1;0.0
p27;20;1;238.0
p28;20;1;0.0
p1;21;1;0.0
p2;21;1;0.0
p3;21;1;18.0
p4;21;1;0.0
p5;21;1;0.0
p6;21;1;0.0
p7;21;1;743.0
p8;21;1;0.0
p9;21;1;0.0
p10;21;1;0.0
p11;21;1;0.0
p12;21;1;0.0
p13;21;1;0.0
p14;21;1;0.0
p15;21;1;489.0
p16;21;1;1.0
p17;21;1;358.0
p18;21;1;0.0
p19;21;1;0.0
p20;21;1;0.0
p21;21;1;1800.0
p22;21;1;0.0
p23;21;1;-0.0
p24;21;1;1352.0
p25;21;1;0.0
p26;21;1;0.0
p27;21;1;239.0
p28;21;1;0.0
p1;22;1;0.0
p2;22;1;0.0
p3;22;1;188.0
p4;22;1;0.0
p5;22;1;0.0
