f;n;t;u;r;value
Blanqueta;1;6;9;1;0.0
Blanqueta;1;6;10;1;0.0
Blanqueta;1;6;11;1;0.0
Blanqueta;1;6;12;1;0.0
Alón;1;6;7;1;0.0
Alón;1;6;8;1;0.0
Alón;1;6;9;1;0.0
Alón;1;6;10;1;0.0
Alón;1;6;11;1;0.0
Alón;1;6;12;1;0.0
Punta;1;6;7;1;0.0
Punta;1;6;8;1;0.0
Punta;1;6;9;1;0.0
Punta;1;6;10;1;0.0
Punta;1;6;11;1;0.0
Punta;1;6;12;1;0.0
Jamoncito;1;6;7;1;0.0
Jamoncito;1;6;8;1;0.0
Jamoncito;1;6;9;1;0.0
Jamoncito;1;6;10;1;0.0
Jamoncito;1;6;11;1;0.0
Jamoncito;1;6;12;1;0.0
Medio Muslo;1;6;7;1;0.0
Medio Muslo;1;6;8;1;0.0
Medio Muslo;1;6;9;1;0.0
Medio Muslo;1;6;10;1;0.0
Medio Muslo;1;6;11;1;0.0
Medio Muslo;1;6;12;1;0.0
Entero;1;7;8;1;0.0
Entero;1;7;9;1;0.0
Entero;1;7;10;1;0.0
Entero;1;7;11;1;0.0
Entero;1;7;12;1;0.0
Entero;1;7;13;1;0.0
Medio Pollo;1;7;8;1;0.0
Medio Pollo;1;7;9;1;0.0
Medio Pollo;1;7;10;1;0.0
Medio Pollo;1;7;11;1;0.0
Medio Pollo;1;7;12;1;0.0
Medio Pollo;1;7;13;1;0.0
Medio Pollo Superior;1;7;8;1;0.0
Medio Pollo Superior;1;7;9;1;0.0
Medio Pollo Superior;1;7;10;1;0.0
Medio Pollo Superior;1;7;11;1;0.0
Medio Pollo Superior;1;7;12;1;0.0
Medio Pollo Superior;1;7;13;1;0.0
Medio Pollo Inferior;1;7;8;1;0.0
Medio Pollo Inferior;1;7;9;1;0.0
Medio Pollo Inferior;1;7;10;1;0.0
Medio Pollo Inferior;1;7;11;1;0.0
Medio Pollo Inferior;1;7;12;1;0.0
Medio Pollo Inferior;1;7;13;1;0.0
Cuarto de Pollo Superior;1;7;8;1;0.0
Cuarto de Pollo Superior;1;7;9;1;0.0
Cuarto de Pollo Superior;1;7;10;1;0.0
Cuarto de Pollo Superior;1;7;11;1;0.0
Cuarto de Pollo Superior;1;7;12;1;0.0
Cuarto de Pollo Superior;1;7;13;1;0.0
Muslo Entero;1;7;8;1;0.0
Muslo Entero;1;7;9;1;0.0
Muslo Entero;1;7;10;1;0.0
Muslo Entero;1;7;11;1;0.0
Muslo Entero;1;7;12;1;0.0
Muslo Entero;1;7;13;1;0.0
Pechuga Completa;1;7;8;1;0.0
Pechuga Completa;1;7;9;1;0.0
Pechuga Completa;1;7;10;1;0.0
Pechuga Completa;1;7;11;1;0.0
Pechuga Completa;1;7;12;1;0.0
Pechuga Completa;1;7;13;1;0.0
Ala Completa;1;7;8;1;0.0
Ala Completa;1;7;9;1;0.0
Ala Completa;1;7;10;1;0.0
Ala Completa;1;7;11;1;0.0
Ala Completa;1;7;12;1;0.0
Ala Completa;1;7;13;1;0.0
Media Pechuga;1;7;8;1;0.0
Media Pechuga;1;7;9;1;0.0
Media Pechuga;1;7;10;1;0.0
Media Pechuga;1;7;11;1;0.0
Media Pechuga;1;7;12;1;0.0
Media Pechuga;1;7;13;1;0.0
Blanqueta;1;7;8;1;0.0
Blanqueta;1;7;9;1;0.0
Blanqueta;1;7;10;1;0.0
Blanqueta;1;7;11;1;0.0
Blanqueta;1;7;12;1;0.0
Blanqueta;1;7;13;1;0.0
Alón;1;7;8;1;0.0
Alón;1;7;9;1;0.0
Alón;1;7;10;1;0.0
Alón;1;7;11;1;0.0
Alón;1;7;12;1;0.0
Alón;1;7;13;1;0.0
