f;n;t;r;value
Medio Pollo Inferior;1;16;1;1118.4193548387098
Cuarto de Pollo Superior;1;16;1;1458.8709677419356
Muslo Entero;1;16;1;1304.8225806451612
Pechuga Completa;1;16;1;1877.4193548387098
Ala Completa;1;16;1;810.1935483870967
Media Pechuga;1;16;1;2175.0
Blanqueta;1;16;1;0.1774193548387097
Alón;1;16;1;0.08709677419354839
Punta;1;16;1;0.025806451612903226
Jamoncito;1;16;1;1095.4623655913979
Medio Muslo;1;16;1;1956.1827956989246
Entero;1;17;1;923.0
Medio Pollo;1;17;1;1021.5
Medio Pollo Superior;1;17;1;1258.8387096774195
Medio Pollo Inferior;1;17;1;1118.4193548387098
Cuarto de Pollo Superior;1;17;1;1458.8709677419356
Muslo Entero;1;17;1;1304.8225806451612
Pechuga Completa;1;17;1;1877.4193548387098
Ala Completa;1;17;1;810.1935483870967
Media Pechuga;1;17;1;2175.0
Blanqueta;1;17;1;0.1774193548387097
Alón;1;17;1;0.08709677419354839
Punta;1;17;1;0.025806451612903226
Jamoncito;1;17;1;1095.4623655913979
Medio Muslo;1;17;1;1956.1827956989246
Entero;1;18;1;923.0
Medio Pollo;1;18;1;1021.5
Medio Pollo Superior;1;18;1;1258.8387096774195
Medio Pollo Inferior;1;18;1;1118.4193548387098
Cuarto de Pollo Superior;1;18;1;1458.8709677419356
Muslo Entero;1;18;1;1304.8225806451612
Pechuga Completa;1;18;1;1877.4193548387098
Ala Completa;1;18;1;810.1935483870967
Media Pechuga;1;18;1;2175.0
Blanqueta;1;18;1;0.1774193548387097
Alón;1;18;1;0.08709677419354839
Punta;1;18;1;0.025806451612903226
Jamoncito;1;18;1;1095.4623655913979
Medio Muslo;1;18;1;1956.1827956989246
Entero;1;19;1;923.0
Medio Pollo;1;19;1;1021.5
Medio Pollo Superior;1;19;1;1258.8387096774195
Medio Pollo Inferior;1;19;1;1118.4193548387098
Cuarto de Pollo Superior;1;19;1;1458.8709677419356
Muslo Entero;1;19;1;1304.8225806451612
Pechuga Completa;1;19;1;1877.4193548387098
Ala Completa;1;19;1;810.1935483870967
Media Pechuga;1;19;1;2175.0
Blanqueta;1;19;1;0.1774193548387097
Alón;1;19;1;0.08709677419354839
Punta;1;19;1;0.025806451612903226
Jamoncito;1;19;1;1095.4623655913979
Medio Muslo;1;19;1;1956.1827956989246
Entero;1;20;1;923.0
Medio Pollo;1;20;1;1021.5
Medio Pollo Superior;1;20;1;1258.8387096774195
Medio Pollo Inferior;1;20;1;1118.4193548387098
Cuarto de Pollo Superior;1;20;1;1458.8709677419356
Muslo Entero;1;20;1;1304.8225806451612
Pechuga Completa;1;20;1;1877.4193548387098
Ala Completa;1;20;1;810.1935483870967
Media Pechuga;1;20;1;2175.0
Blanqueta;1;20;1;0.1774193548387097
Alón;1;20;1;0.08709677419354839
Punta;1;20;1;0.025806451612903226
Jamoncito;1;20;1;1095.4623655913979
Medio Muslo;1;20;1;1956.1827956989246
Entero;1;21;1;923.0
Medio Pollo;1;21;1;1021.5
Medio Pollo Superior;1;21;1;1258.8387096774195
Medio Pollo Inferior;1;21;1;1118.4193548387098
Cuarto de Pollo Superior;1;21;1;1458.8709677419356
Muslo Entero;1;21;1;1304.8225806451612
Pechuga Completa;1;21;1;1877.4193548387098
Ala Completa;1;21;1;810.1935483870967
Media Pechuga;1;21;1;2175.0
Blanqueta;1;21;1;0.1774193548387097
Alón;1;21;1;0.08709677419354839
Punta;1;21;1;0.025806451612903226
Jamoncito;1;21;1;1095.4623655913979
Medio Muslo;1;21;1;1956.1827956989246
Entero;2;22;1;538.9999999982374
Medio Pollo;2;22;1;8.809593055048029e-10
Medio Pollo Superior;2;22;1;419.80645161290323
Medio Pollo Inferior;2;22;1;434.03225806451616
Cuarto de Pollo Superior;2;22;1;67.35483870967742
Muslo Entero;2;22;1;48.645161290692016
Pechuga Completa;2;22;1;3518.225806451613
Ala Completa;2;22;1;1178.1290322580644
Media Pechuga;2;22;1;3073.0645161294588
Blanqueta;2;22;1;85.63440860220264
Alón;2;22;1;42.038709677444935
Punta;2;22;1;12.4559139785022
Jamoncito;2;22;1;2003.6559139784945
Medio Muslo;2;22;1;3577.956989247312
Entero;2;23;1;2067.0
Medio Pollo;2;23;1;402.0
Medio Pollo Superior;2;23;1;2402.709677419355
Medio Pollo Inferior;2;23;1;0.0
Cuarto de Pollo Superior;2;23;1;1565.4193548387098
Muslo Entero;2;23;1;1299.1612903225807
Pechuga Completa;2;23;1;2562.0967741935483
Ala Completa;2;23;1;512.4193548387096
Media Pechuga;2;23;1;194.51612903225808
Blanqueta;2;23;1;23.7741935483871
Alón;2;23;1;11.670967741935485
Punta;2;23;1;3.458064516129032
Jamoncito;2;23;1;1420.021505376344
Medio Muslo;2;23;1;2535.752688172043
Entero;2;24;1;1.0
Medio Pollo;2;24;1;1131.0
Medio Pollo Superior;2;24;1;1368.0
Medio Pollo Inferior;2;24;1;2922.483870967742
Cuarto de Pollo Superior;2;24;1;1981.1612903225807
Muslo Entero;2;24;1;1905.1290322580646
Pechuga Completa;2;24;1;0.0
Ala Completa;2;24;1;674.4193548387096
Media Pechuga;2;24;1;3919.354838709677
Blanqueta;2;24;1;66.88709677419355
Alón;2;24;1;32.83548387096774
Punta;2;24;1;9.729032258064516
Jamoncito;2;24;1;354.6666666666667
Medio Muslo;2;24;1;633.3333333333333
Entero;2;25;1;1213.0
Medio Pollo;2;25;1;1291.5
Medio Pollo Superior;2;25;1;2736.5806451612907
Medio Pollo Inferior;2;25;1;0.0
Cuarto de Pollo Superior;2;25;1;1565.4193548387098
Muslo Entero;2;25;1;1672.177419354839
Pechuga Completa;2;25;1;1836.2903225806451
Ala Completa;2;25;1;367.258064516129
Media Pechuga;2;25;1;624.9193548387098
Blanqueta;2;25;1;76.37903225806453
Alón;2;25;1;37.495161290322585
Punta;2;25;1;11.109677419354838
Jamoncito;2;25;1;1280.774193548387
Medio Muslo;2;25;1;2287.0967741935483
Entero;2;26;1;0.0
Medio Pollo;2;26;1;1624.0
Medio Pollo Superior;2;26;1;0.0
Medio Pollo Inferior;2;26;1;1213.6129032258066
Cuarto de Pollo Superior;2;26;1;1565.4193548387098
Muslo Entero;2;26;1;1130.5806451612902
Pechuga Completa;2;26;1;2008.0645161290324
Ala Completa;2;26;1;859.3548387096774
Media Pechuga;2;26;1;3159.6774193548385
Blanqueta;2;26;1;106.45161290322581
Alón;2;26;1;52.25806451612903
Punta;2;26;1;15.483870967741936
Jamoncito;2;26;1;1172.0860215053763
Medio Muslo;2;26;1;2093.010752688172
Entero;2;27;1;3101.0
Medio Pollo;2;27;1;638.5
Medio Pollo Superior;2;27;1;677.6129032258065
Medio Pollo Inferior;2;27;1;1223.258064516129
Cuarto de Pollo Superior;2;27;1;2307.483870967742
Muslo Entero;2;27;1;1934.274193548387
Pechuga Completa;2;27;1;23.225806451612904
Ala Completa;2;27;1;286.93548387096774
Media Pechuga;2;27;1;2937.8225806451615
Blanqueta;2;27;1;186.55645161290323
Alón;2;27;1;91.58225806451614
Punta;2;27;1;27.135483870967743
Jamoncito;2;27;1;561.6559139784947
Medio Muslo;2;27;1;1002.9569892473118
Entero;2;28;1;1033.0
Medio Pollo;2;28;1;2011.5
Medio Pollo Superior;2;28;1;948.7741935483872
Medio Pollo Inferior;2;28;1;1223.258064516129
Cuarto de Pollo Superior;2;28;1;1167.967741935484
Muslo Entero;2;28;1;843.5322580645162
Pechuga Completa;2;28;1;2609.516129032258
Ala Completa;2;28;1;804.1935483870968
Media Pechuga;2;28;1;1411.4516129032259
Blanqueta;2;28;1;0.0
Alón;2;28;1;0.0
Punta;2;28;1;0.0
Jamoncito;2;28;1;1057.8279569892475
Medio Muslo;2;28;1;1888.978494623656
Entero;2;29;1;0.0
Medio Pollo;2;29;1;2102.0
Medio Pollo Superior;2;29;1;2736.5806451612907
Medio Pollo Inferior;2;29;1;757.7741935483871
Cuarto de Pollo Superior;2;29;1;1220.516129032258
Muslo Entero;2;29;1;881.483870967742
Pechuga Completa;2;29;1;2069.032258064516
Ala Completa;2;29;1;588.6774193548388
Media Pechuga;2;29;1;874.3548387096774
Blanqueta;2;29;1;0.0
Alón;2;29;1;0.0
Punta;2;29;1;0.0
Jamoncito;2;29;1;1353.1827956989248
Medio Muslo;2;29;1;2416.3978494623652
Entero;2;30;1;1034.0
Medio Pollo;2;30;1;1131.0
Medio Pollo Superior;2;30;1;2736.5806451612907
Medio Pollo Inferior;2;30;1;1223.258064516129
Cuarto de Pollo Superior;2;30;1;1149.0967741935485
Muslo Entero;2;30;1;829.9032258064517
Pechuga Completa;2;30;1;1560.967741935484
Ala Completa;2;30;1;594.483870967742
Media Pechuga;2;30;1;1411.4516129032259
Blanqueta;2;30;1;0.0
Alón;2;30;1;0.0
Punta;2;30;1;0.0
Jamoncito;2;30;1;1195.1182795698924
Medio Muslo;2;30;1;2134.1397849462364
Entero;2;31;1;0.0
Medio Pollo;2;31;1;0.0
Medio Pollo Superior;2;31;1;0.0
Medio Pollo Inferior;2;31;1;1707.1935483870968
Cuarto de Pollo Superior;2;31;1;1565.4193548387098
Muslo Entero;2;31;1;1130.5806451612905
Pechuga Completa;2;31;1;3983.709677419355
Ala Completa;2;31;1;1190.7096774193549
Media Pechuga;2;31;1;1969.8387096774195
Blanqueta;2;31;1;0.0
Alón;2;31;1;0.0
Punta;2;31;1;0.0
Jamoncito;2;31;1;1239.3763440860216
Medio Muslo;2;31;1;2213.1720430107525
Entero;2;32;1;0.0
Medio Pollo;2;32;1;2513.0
Medio Pollo Superior;2;32;1;2942.129032258065
Medio Pollo Inferior;2;32;1;1981.032258064516
Cuarto de Pollo Superior;2;32;1;1565.4193548387098
Muslo Entero;2;32;1;1130.5806451612905
Pechuga Completa;2;32;1;0.0
Ala Completa;2;32;1;457.1612903225806
Media Pechuga;2;32;1;2285.8064516129034
Blanqueta;2;32;1;0.0
Alón;2;32;1;0.0
Punta;2;32;1;0.0
Jamoncito;2;32;1;762.7741935483871
Medio Muslo;2;32;1;1362.0967741935483
Entero;2;33;1;1034.0
Medio Pollo;2;33;1;0.0
Medio Pollo Superior;2;33;1;0.0
Medio Pollo Inferior;2;33;1;1489.1290322580646
Cuarto de Pollo Superior;2;33;1;1565.4193548387098
Muslo Entero;2;33;1;1130.5806451612905
Pechuga Completa;2;33;1;1991.6129032258066
Ala Completa;2;33;1;859.258064516129
Media Pechuga;2;33;1;3461.6129032258063
Blanqueta;2;33;1;141.40322580645162
Alón;2;33;1;69.41612903225807
Punta;2;33;1;20.56774193548387
Jamoncito;2;33;1;1162.0
Medio Muslo;2;33;1;2075.0
Entero;2;34;1;1033.0
Medio Pollo;2;34;1;0.0
Medio Pollo Superior;2;34;1;0.0
Medio Pollo Inferior;2;34;1;957.8064516129033
Cuarto de Pollo Superior;2;34;1;2160.5806451612902
Muslo Entero;2;34;1;1560.4193548387098
Pechuga Completa;2;34;1;2067.5806451612902
Ala Completa;2;34;1;991.5483870967741
Media Pechuga;2;34;1;2890.1612903225805
Blanqueta;2;34;1;0.0
Alón;2;34;1;0.0
Punta;2;34;1;0.0
Jamoncito;2;34;1;1198.5806451612902
Medio Muslo;2;34;1;2140.322580645161
Entero;2;35;1;3100.0
Medio Pollo;2;35;1;2262.5
Medio Pollo Superior;2;35;1;1368.0
Medio Pollo Inferior;2;35;1;0.0
Cuarto de Pollo Superior;2;35;1;1313.7096774193549
Muslo Entero;2;35;1;948.7903225806452
Pechuga Completa;2;35;1;1627.741935483871
Ala Completa;2;35;1;325.5483870967742
Media Pechuga;2;35;1;800.8064516129033
Blanqueta;2;35;1;97.8763440860215
Alón;2;35;1;48.04838709677419
Punta;2;35;1;14.236559139784946
Jamoncito;2;35;1;1110.215053763441
Medio Muslo;2;35;1;1982.5268817204299
Entero;2;36;1;0.0
Medio Pollo;2;36;1;0.0
Medio Pollo Superior;2;36;1;2736.5806451612907
Medio Pollo Inferior;2;36;1;1457.258064516129
Cuarto de Pollo Superior;2;36;1;1565.4193548387098
Muslo Entero;2;36;1;1130.5806451612905
Pechuga Completa;2;36;1;1991.6129032258066
Ala Completa;2;36;1;734.6129032258063
Media Pechuga;2;36;1;1681.4516129032259
Blanqueta;2;36;1;0.0
Alón;2;36;1;0.0
Punta;2;36;1;0.0
Jamoncito;2;36;1;1329.0967741935483
Medio Muslo;2;36;1;2373.387096774193
Entero;2;37;1;0.0
Medio Pollo;2;37;1;2104.5
Medio Pollo Superior;2;37;1;0.0
Medio Pollo Inferior;2;37;1;1223.258064516129
Cuarto de Pollo Superior;2;37;1;1221.967741935484
Muslo Entero;2;37;1;882.5322580645162
Pechuga Completa;2;37;1;1585.1612903225807
Ala Completa;2;37;1;845.6129032258065
Media Pechuga;2;37;1;3636.2903225806454
Blanqueta;2;37;1;121.41397849462366
Alón;2;37;1;59.60322580645162
Punta;2;37;1;17.66021505376344
Jamoncito;2;37;1;1185.3333333333335
Medio Muslo;2;37;1;2116.6666666666665
Entero;2;38;1;1033.0
Medio Pollo;2;38;1;1595.5
Medio Pollo Superior;2;38;1;484.8387096774194
Medio Pollo Inferior;2;38;1;971.6451612903226
Cuarto de Pollo Superior;2;38;1;1565.709677419355
Muslo Entero;2;38;1;1130.7903225806454
Pechuga Completa;2;38;1;1991.6129032258066
Ala Completa;2;38;1;855.483870967742
Media Pechuga;2;38;1;2285.8064516129034
Blanqueta;2;38;1;0.0
Alón;2;38;1;0.0
Punta;2;38;1;0.0
Jamoncito;2;38;1;1107.6559139784947
Medio Muslo;2;38;1;1977.9569892473119
Entero;2;39;1;1035.0
Medio Pollo;2;39;1;158.0
Medio Pollo Superior;2;39;1;1368.0
Medio Pollo Inferior;2;39;1;1223.258064516129
Cuarto de Pollo Superior;2;39;1;2473.548387096774
Muslo Entero;2;39;1;1852.7096774193549
Pechuga Completa;2;39;1;1991.6129032258066
Ala Completa;2;39;1;680.6129032258065
Media Pechuga;2;39;1;1487.9032258064517
Blanqueta;2;39;1;9.344086021505376
Alón;2;39;1;4.587096774193548
Punta;2;39;1;1.3591397849462366
Jamoncito;2;39;1;974.2795698924731
Medio Muslo;2;39;1;1739.784946236559
Entero;2;40;1;1035.0
Medio Pollo;2;40;1;1131.0
Medio Pollo Superior;2;40;1;1368.0
Medio Pollo Inferior;2;40;1;1223.258064516129
Cuarto de Pollo Superior;2;40;1;656.7096774193549
Muslo Entero;2;40;1;474.2903225806452
Pechuga Completa;2;40;1;1991.6129032258066
Ala Completa;2;40;1;904.5483870967741
Media Pechuga;2;40;1;2531.1290322580644
Blanqueta;2;40;1;0.0
Alón;2;40;1;0.0
Punta;2;40;1;0.0
Jamoncito;2;40;1;1322.6236559139784
Medio Muslo;2;40;1;2361.8279569892475
Entero;2;41;1;1034.0
Medio Pollo;2;41;1;1131.0
Medio Pollo Superior;2;41;1;1368.0
Medio Pollo Inferior;2;41;1;1496.258064516129
Cuarto de Pollo Superior;2;41;1;1568.9032258064517
Muslo Entero;2;41;1;1133.0967741935485
Pechuga Completa;2;41;1;1991.6129032258066
Ala Completa;2;41;1;752.6129032258063
Media Pechuga;2;41;1;1771.4516129032259
Blanqueta;2;41;1;0.0
Alón;2;41;1;0.0
Punta;2;41;1;0.0
Jamoncito;2;41;1;988.2795698924731
Medio Muslo;2;41;1;1764.784946236559
Entero;2;42;1;1034.0
Medio Pollo;2;42;1;667.0
Medio Pollo Superior;2;42;1;1368.0
Medio Pollo Inferior;2;42;1;950.6774193548388
Cuarto de Pollo Superior;2;42;1;1561.9354838709678
Muslo Entero;2;42;1;1407.774193548387
Pechuga Completa;2;42;1;1991.6129032258066
Ala Completa;2;42;1;734.1290322580645
Media Pechuga;2;42;1;2001.7741935483873
Blanqueta;2;42;1;39.446236559139784
Alón;2;42;1;19.36451612903226
Punta;2;42;1;5.73763440860215
Jamoncito;2;42;1;1155.3763440860216
Medio Muslo;2;42;1;2063.1720430107525
Entero;3;43;1;809.0
Medio Pollo;3;43;1;997.5
Medio Pollo Superior;3;43;1;3880.451612903226
Medio Pollo Inferior;3;43;1;0.0
Cuarto de Pollo Superior;3;43;1;519.0967741935484
Muslo Entero;3;43;1;1070.8225806451615
Pechuga Completa;3;43;1;752.9032258064516
Ala Completa;3;43;1;533.516129032258
Media Pechuga;3;43;1;1964.758064516129
Blanqueta;3;43;1;6.120967741935484
Alón;3;43;1;3.0048387096774194
Punta;3;43;1;0.8903225806451613
Jamoncito;3;43;1;1601.7204301075271
Medio Muslo;3;43;1;2860.2150537634407
