f;n;t;r;value
Alón;1;18;1;0.0
Punta;1;18;1;-1.8189894035458565e-12
Jamoncito;1;18;1;1095.311827956989
Medio Muslo;1;18;1;1955.9139784946228
Entero;1;19;1;921.9999999999991
Medio Pollo;1;19;1;1022.0
Medio Pollo Superior;1;19;1;1259.4193548387102
Medio Pollo Inferior;1;19;1;1118.8387096774195
Cuarto de Pollo Superior;1;19;1;1458.8709677419356
Muslo Entero;1;19;1;1304.82258064516
Pechuga Completa;1;19;1;1876.9354838709678
Ala Completa;1;19;1;810.4354838709678
Media Pechuga;1;19;1;2175.241935483871
Blanqueta;1;19;1;0.0
Alón;1;19;1;0.0
Punta;1;19;1;-1.8189894035458565e-12
Jamoncito;1;19;1;1095.3870967741932
Medio Muslo;1;19;1;1956.0483870967737
Entero;1;20;1;921.0
Medio Pollo;1;20;1;1022.0
Medio Pollo Superior;1;20;1;1259.4193548387102
Medio Pollo Inferior;1;20;1;1118.8387096774195
Cuarto de Pollo Superior;1;20;1;1458.8709677419356
Muslo Entero;1;20;1;1305.2419354838703
Pechuga Completa;1;20;1;1877.4193548387102
Ala Completa;1;20;1;810.5322580645161
Media Pechuga;1;20;1;2175.241935483871
Blanqueta;1;20;1;0.0
Alón;1;20;1;0.0
Punta;1;20;1;-1.8189894035458565e-12
Jamoncito;1;20;1;1095.3870967741932
Medio Muslo;1;20;1;1956.0483870967737
Entero;1;21;1;921.9999999999991
Medio Pollo;1;21;1;1022.0
Medio Pollo Superior;1;21;1;1258.8387096774195
Medio Pollo Inferior;1;21;1;1118.8387096774195
Cuarto de Pollo Superior;1;21;1;1459.1612903225805
Muslo Entero;1;21;1;1305.4516129032263
Pechuga Completa;1;21;1;1877.4193548387102
Ala Completa;1;21;1;810.4838709677415
Media Pechuga;1;21;1;2175.0
Blanqueta;1;21;1;0.0
Alón;1;21;1;0.0
Punta;1;21;1;0.0
Jamoncito;1;21;1;1095.1612903225805
Medio Muslo;1;21;1;1955.645161290323
Entero;2;2;1;1038.9184690000002
Medio Pollo;2;2;1;1137.0
Medio Pollo Superior;2;2;1;1377.0045394803637
Medio Pollo Inferior;2;2;1;1224.5161290322594
Cuarto de Pollo Superior;2;2;1;1573.6240765073508
Muslo Entero;2;2;1;1408.8166463023017
Pechuga Completa;2;2;1;1998.6626986014817
Ala Completa;2;2;1;874.5243298316627
Media Pechuga;2;2;1;2292.2897006672138
Blanqueta;2;2;1;60.73533536787545
Alón;2;2;1;38.7151279921236
Punta;2;2;1;14.370436006953241
Jamoncito;2;2;1;1102.8855472116866
Medio Muslo;2;2;1;2107.2230970479777
Entero;2;3;1;1011.0000000000009
