f;u;r;value
Pechuga Completa;3;3;0.0
Pechuga Completa;4;3;0.0
Pechuga Completa;5;3;0.0
Pechuga Completa;6;3;0.0
Pechuga Completa;7;3;0.0
Pechuga Completa;8;3;222.42424750532928
Ala Completa;1;3;0.0
Ala Completa;2;3;0.0
Ala Completa;3;3;0.0
Ala Completa;4;3;0.0
Ala Completa;5;3;0.0
Ala Completa;6;3;0.0
Ala Completa;7;3;0.0
Ala Completa;8;3;31.131208137578028
Media Pechuga;1;3;0.0
Media Pechuga;2;3;0.0
Media Pechuga;3;3;0.0
Media Pechuga;4;3;0.0
Media Pechuga;5;3;0.0
Media Pechuga;6;3;855.6960845632268
Media Pechuga;7;3;1882.7419354838712
Media Pechuga;8;3;2252.4193548387098
Blanqueta;1;3;0.0
Blanqueta;2;3;0.0
Blanqueta;3;3;0.0
Blanqueta;4;3;0.0
Blanqueta;5;3;0.0
Blanqueta;6;3;0.0
Blanqueta;7;3;0.0
Blanqueta;8;3;0.0
Alón;1;3;0.0
Alón;2;3;0.0
Alón;3;3;0.0
Alón;4;3;0.0
Alón;5;3;0.0
Alón;6;3;0.0
Alón;7;3;0.0
Alón;8;3;0.0
Punta;1;3;0.0
Punta;2;3;0.0
Punta;3;3;0.0
Punta;4;3;0.0
Punta;5;3;0.0
Punta;6;3;0.0
Punta;7;3;0.0
Punta;8;3;0.0
Jamoncito;1;3;0.0
Jamoncito;2;3;0.0
Jamoncito;3;3;0.0
Jamoncito;4;3;0.0
Jamoncito;5;3;0.0
Jamoncito;6;3;0.0
Jamoncito;7;3;435.36545400665614
Jamoncito;8;3;1090.4946236559103
Medio Muslo;1;3;0.0
Medio Muslo;2;3;0.0
Medio Muslo;3;3;0.0
Medio Muslo;4;3;0.0
Medio Muslo;5;3;0.0
Medio Muslo;6;3;0.0
Medio Muslo;7;3;0.0
Medio Muslo;8;3;0.0
Entero;1;4;0.0
Entero;2;4;0.0
Entero;3;4;0.0
Entero;4;4;0.0
Entero;5;4;0.0
Entero;6;4;0.0
Entero;7;4;0.0
Entero;8;4;422.6599445161547
Medio Pollo;1;4;0.0
Medio Pollo;2;4;0.0
Medio Pollo;3;4;0.0
Medio Pollo;4;4;0.0
Medio Pollo;5;4;0.0
Medio Pollo;6;4;0.0
Medio Pollo;7;4;0.0
Medio Pollo;8;4;304.74106497464027
Medio Pollo Superior;1;4;0.0
Medio Pollo Superior;2;4;0.0
Medio Pollo Superior;3;4;0.0
Medio Pollo Superior;4;4;0.0
Medio Pollo Superior;5;4;0.0
Medio Pollo Superior;6;4;0.0
Medio Pollo Superior;7;4;0.0
Medio Pollo Superior;8;4;754.7710437693502
Medio Pollo Inferior;1;4;0.0
Medio Pollo Inferior;2;4;0.0
Medio Pollo Inferior;3;4;0.0
Medio Pollo Inferior;4;4;0.0
Medio Pollo Inferior;5;4;0.0
Medio Pollo Inferior;6;4;0.0
Medio Pollo Inferior;7;4;0.0
Medio Pollo Inferior;8;4;661.0360201609441
Cuarto de Pollo Superior;1;4;0.0
Cuarto de Pollo Superior;2;4;0.0
Cuarto de Pollo Superior;3;4;0.0
Cuarto de Pollo Superior;4;4;0.0
Cuarto de Pollo Superior;5;4;0.0
Cuarto de Pollo Superior;6;4;0.0
Cuarto de Pollo Superior;7;4;0.0
Cuarto de Pollo Superior;8;4;0.0
Muslo Entero;1;4;0.0
Muslo Entero;2;4;0.0
Muslo Entero;3;4;0.0
Muslo Entero;4;4;0.0
Muslo Entero;5;4;0.0
Muslo Entero;6;4;0.0
Muslo Entero;7;4;0.0
Muslo Entero;8;4;1122.4304122485842
Pechuga Completa;1;4;0.0
Pechuga Completa;2;4;0.0
Pechuga Completa;3;4;0.0
Pechuga Completa;4;4;0.0
Pechuga Completa;5;4;0.0
Pechuga Completa;6;4;0.0
Pechuga Completa;7;4;499.5836727091046
Pechuga Completa;8;4;1659.193548387085
Ala Completa;1;4;0.0
Ala Completa;2;4;0.0
Ala Completa;3;4;0.0
Ala Completa;4;4;0.0
Ala Completa;5;4;0.0
Ala Completa;6;4;0.0
Ala Completa;7;4;66.22643971796549
Ala Completa;8;4;782.3225806451588
Media Pechuga;1;4;0.0
Media Pechuga;2;4;0.0
Media Pechuga;3;4;0.0
Media Pechuga;4;4;0.0
Media Pechuga;5;4;0.0
Media Pechuga;6;4;0.0
Media Pechuga;7;4;701.1494525131225
Media Pechuga;8;4;2252.4193548387098
Blanqueta;1;4;0.0
Blanqueta;2;4;0.0
Blanqueta;3;4;0.0
Blanqueta;4;4;0.0
Blanqueta;5;4;0.0
Blanqueta;6;4;0.0
Blanqueta;7;4;0.0
Blanqueta;8;4;0.0
Alón;1;4;0.0
Alón;2;4;0.0
Alón;3;4;0.0
Alón;4;4;0.0
Alón;5;4;0.0
Alón;6;4;0.0
Alón;7;4;0.0
Alón;8;4;0.0
Punta;1;4;0.0
Punta;2;4;0.0
Punta;3;4;0.0
Punta;4;4;0.0
Punta;5;4;0.0
Punta;6;4;0.0
Punta;7;4;0.0
Punta;8;4;0.0
Jamoncito;1;4;0.0
Jamoncito;2;4;0.0
Jamoncito;3;4;0.0
Jamoncito;4;4;0.0
Jamoncito;5;4;0.0
Jamoncito;6;4;0.0
Jamoncito;7;4;319.9937993173512
Jamoncito;8;4;1090.4946236559103
Medio Muslo;1;4;0.0
Medio Muslo;2;4;0.0
Medio Muslo;3;4;0.0
Medio Muslo;4;4;0.0
Medio Muslo;5;4;0.0
Medio Muslo;6;4;0.0
Medio Muslo;7;4;0.0
Medio Muslo;8;4;1661.69288130573
Entero;1;5;0.0
Entero;2;5;0.0
Entero;3;5;0.0
Entero;4;5;0.0
Entero;5;5;0.0
Entero;6;5;0.0
Entero;7;5;24.27463793143761
Entero;8;5;957.0000000000246
Medio Pollo;1;5;0.0
Medio Pollo;2;5;0.0
Medio Pollo;3;5;0.0
Medio Pollo;4;5;0.0
Medio Pollo;5;5;0.0
Medio Pollo;6;5;0.0
Medio Pollo;7;5;0.0
Medio Pollo;8;5;0.0
Medio Pollo Superior;1;5;0.0
Medio Pollo Superior;2;5;0.0
Medio Pollo Superior;3;5;0.0
Medio Pollo Superior;4;5;0.0
Medio Pollo Superior;5;5;0.0
Medio Pollo Superior;6;5;0.0
Medio Pollo Superior;7;5;0.0
Medio Pollo Superior;8;5;1266.1488467217648
Medio Pollo Inferior;1;5;0.0
Medio Pollo Inferior;2;5;0.0
Medio Pollo Inferior;3;5;0.0
Medio Pollo Inferior;4;5;0.0
Medio Pollo Inferior;5;5;0.0
Medio Pollo Inferior;6;5;0.0
Medio Pollo Inferior;7;5;0.0
Medio Pollo Inferior;8;5;399.8389683874534
Cuarto de Pollo Superior;1;5;0.0
Cuarto de Pollo Superior;2;5;0.0
Cuarto de Pollo Superior;3;5;0.0
Cuarto de Pollo Superior;4;5;0.0
Cuarto de Pollo Superior;5;5;0.0
Cuarto de Pollo Superior;6;5;0.0
Cuarto de Pollo Superior;7;5;0.0
Cuarto de Pollo Superior;8;5;0.0
Muslo Entero;1;5;0.0
Muslo Entero;2;5;0.0
Muslo Entero;3;5;0.0
Muslo Entero;4;5;0.0
Muslo Entero;5;5;0.0
Muslo Entero;6;5;0.0
Muslo Entero;7;5;0.0
Muslo Entero;8;5;744.3284289012377
Pechuga Completa;1;5;0.0
Pechuga Completa;2;5;0.0
Pechuga Completa;3;5;0.0
Pechuga Completa;4;5;0.0
Pechuga Completa;5;5;0.0
Pechuga Completa;6;5;0.0
Pechuga Completa;7;5;0.0
Pechuga Completa;8;5;981.9835395977443
Ala Completa;1;5;0.0
Ala Completa;2;5;0.0
Ala Completa;3;5;0.0
Ala Completa;4;5;0.0
Ala Completa;5;5;0.0
Ala Completa;6;5;0.0
Ala Completa;7;5;0.0
Ala Completa;8;5;575.0849252377959
Media Pechuga;1;5;0.0
Media Pechuga;2;5;0.0
Media Pechuga;3;5;0.0
Media Pechuga;4;5;0.0
Media Pechuga;5;5;0.0
Media Pechuga;6;5;0.0
Media Pechuga;7;5;0.0
Media Pechuga;8;5;876.1480310614943
Blanqueta;1;5;0.0
Blanqueta;2;5;0.0
Blanqueta;3;5;0.0
Blanqueta;4;5;0.0
Blanqueta;5;5;0.0
Blanqueta;6;5;0.0
Blanqueta;7;5;0.0
Blanqueta;8;5;0.0
Alón;1;5;0.0
Alón;2;5;0.0
Alón;3;5;0.0
Alón;4;5;0.0
Alón;5;5;0.0
Alón;6;5;0.0
Alón;7;5;0.0
Alón;8;5;0.0
Punta;1;5;0.0
Punta;2;5;0.0
Punta;3;5;0.0
Punta;4;5;0.0
Punta;5;5;0.0
Punta;6;5;0.0
Punta;7;5;0.0
Punta;8;5;0.0
Jamoncito;1;5;0.0
Jamoncito;2;5;0.0
Jamoncito;3;5;0.0
