f;n;t;r;value
Jamoncito;1;20;1;95.14952874158304
Medio Muslo;1;20;1;73.27168465584738
Entero;1;21;1;60.18570358209831
Medio Pollo;1;21;1;62.25238971207065
Medio Pollo Superior;1;21;1;62.361937248978876
Medio Pollo Inferior;1;21;1;68.07397443556131
Cuarto de Pollo Superior;1;21;1;66.5155346321519
Muslo Entero;1;21;1;72.51081226942868
Pechuga Completa;1;21;1;66.80469995119776
Ala Completa;1;21;1;94.43602469735859
Media Pechuga;1;21;1;73.18381898960394
Blanqueta;1;21;1;109.12405352049916
Alón;1;21;1;113.5925371111301
Punta;1;21;1;117.923192937964
Jamoncito;1;21;1;95.14952874158304
Medio Muslo;1;21;1;73.27168465584738
Entero;2;8;1;59.49675916138369
Medio Pollo;2;8;1;61.558904692310875
Medio Pollo Superior;2;8;1;61.527476563301136
Medio Pollo Inferior;2;8;1;67.57424831378819
Cuarto de Pollo Superior;2;8;1;65.68011626806494
Muslo Entero;2;8;1;72.0082355916063
Pechuga Completa;2;8;1;65.86105108964318
Ala Completa;2;8;1;94.15748311951822
Media Pechuga;2;8;1;72.23450998418333
Blanqueta;2;8;1;108.8027173872651
Alón;2;8;1;113.42207124453326
Punta;2;8;1;117.86876995022747
Jamoncito;2;8;1;94.79700438297074
Medio Muslo;2;8;1;72.6861394900785
Entero;2;9;1;59.496759161383686
Medio Pollo;2;9;1;61.558904692310875
Medio Pollo Superior;2;9;1;61.527476563301136
Medio Pollo Inferior;2;9;1;67.57424831378819
Cuarto de Pollo Superior;2;9;1;65.68011626806494
Muslo Entero;2;9;1;72.00823559160628
Pechuga Completa;2;9;1;65.86105108964318
Ala Completa;2;9;1;94.15748311951822
Media Pechuga;2;9;1;72.23450998418333
Blanqueta;2;9;1;108.8027173872651
Alón;2;9;1;113.42207124453326
Punta;2;9;1;117.86876995022747
Jamoncito;2;9;1;94.79700438297074
Medio Muslo;2;9;1;72.6861394900785
Entero;2;10;1;59.496759161383686
Medio Pollo;2;10;1;61.558904692310875
Medio Pollo Superior;2;10;1;61.527476563301136
Medio Pollo Inferior;2;10;1;67.57424831378805
Cuarto de Pollo Superior;2;10;1;65.68011626806494
Muslo Entero;2;10;1;72.00823559160628
Pechuga Completa;2;10;1;65.86105108964318
Ala Completa;2;10;1;94.15748311951822
Media Pechuga;2;10;1;72.23450998418333
Blanqueta;2;10;1;108.8027173872651
Alón;2;10;1;113.42207124453326
Punta;2;10;1;117.86876995022747
Jamoncito;2;10;1;94.79700438297074
Medio Muslo;2;10;1;72.6861394900785
Entero;2;11;1;59.496759161383686
Medio Pollo;2;11;1;61.558904692310875
Medio Pollo Superior;2;11;1;61.527476563301136
