t;r;value
55;2;1123887.9749206482
56;2;1328374.641988674
57;2;1273944.9687618243
58;2;1337264.530232842
59;2;1268988.4670938798
60;2;1120467.2866052922
61;2;1082591.221145093
62;2;1307569.2382371929
63;2;1161703.7088169516
64;2;1169518.992073283
65;2;1263744.5995480474
66;2;1363938.5378596708
67;2;1262425.003930365
68;2;1140799.057420639
69;2;1177586.135970025
70;2;1373718.8690821547
71;2;1187127.0758516504
72;2;1182992.4485638058
73;2;1308392.264341429
74;2;993854.6127937435
75;2;1302480.1347764083
76;2;1299958.1207378595
77;2;1134945.5760178138
78;2;1300845.985632481
79;2;1204152.235353374
80;2;1205850.0316815418
81;2;1326913.3473347146
82;2;1253911.3685566038
83;2;1356387.098171521
84;2;1152666.5668905615
85;2;1311567.3614858056
86;2;1226765.7982409394
87;2;1081405.427074902
88;2;1220057.6421152872
89;2;1248951.5692703295
90;2;1188806.983039437
91;2;1152207.0461944728
92;2;1217492.8671295575
93;2;1292390.2293483126
94;2;1272112.133815245
95;2;1466123.209206575
96;2;1228034.1273985412
97;2;1323508.4570900556
98;2;1192643.6157918877
99;2;1258516.2692101642
100;2;1245563.581639178
101;2;1212091.46493372
102;2;1148249.591748317
103;2;1298442.136566529
104;2;1062263.7423777208
105;2;1105041.6672091275
106;2;1187351.130113468
107;2;1314771.817217686
108;2;1199310.774530788
109;2;1258117.4799733653
110;2;1347040.1180235138
111;2;1430913.4689758625
112;2;1172226.863290247
113;2;1228173.8525123284
114;2;1182987.2205981151
115;2;1160867.703595622
116;2;1154152.252736894
117;2;1192776.45699159
118;2;1211540.9979143417
119;2;1016307.8860618891
120;2;1424811.00134986
121;2;1224599.8240771797
122;2;1243464.805455774
123;2;1249148.317610203
124;2;1158544.4602036842
125;2;1369651.1935613658
126;2;1142737.234255523
127;2;1198836.2750157516
128;2;1324046.8786763614
129;2;1299163.4114010544
130;2;1329930.7185422634
131;2;1242060.820163046
132;2;1362900.601534435
133;2;1078192.6378999378
134;2;1295284.9166402828
135;2;1409519.1235093654
136;2;1246452.831281242
137;2;1251510.9721639163
138;2;1051810.373996584
139;2;1293769.5301541572
140;2;1246568.8867948242
141;2;1259263.3658123803
142;2;1288931.1349588456
143;2;1293389.7471249662
144;2;1273468.1918044537
145;2;1116024.872030949
146;2;1190465.149284468
147;2;1120911.732974119
148;2;1355542.3640510195
149;2;1284681.9810958002
150;2;1139827.7101500467
151;2;1116693.836251458
152;2;1271395.228081918
153;2;1409608.6839755687
154;2;1173343.7062928807
155;2;1391622.8306392077
156;2;1325649.5788882603
